@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7,9-12,21,23-24,29,31,33-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.Randomize -S 1'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
20,8,True,True,True,True,South,1,1,3,1,23,12,18,7,-1,-1,7,4,3055,South
14,5,True,True,False,True,East,1,1,3,1,5,1,20,4,-1,-1,-1,6,532,North
12,13,True,True,True,True,North,1,1,13,13,5,1,7,1,-1,1,-1,-1,560,East
13,9,True,True,True,False,South,1,1,3,1,17,6,25,7,-1,-1,7,14,354,South
15,8,True,True,True,True,North,1,1,3,1,19,12,22,9,-1,-1,8,8,2067,East
7,18,False,False,True,True,East,5,8,11,5,17,6,23,8,12,17,22,25,-7,East
21,9,True,True,False,False,North,10,15,13,15,14,15,17,15,17,14,13,10,-14,North
19,16,True,True,False,False,North,11,15,13,17,13,16,17,15,9,7,6,3,-23,North
17,6,False,True,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,9,546,East
5,7,True,True,True,True,South,1,1,11,3,17,6,25,7,-1,10,13,20,178,East
14,15,True,False,True,True,West,10,15,13,15,5,1,7,1,4,1,-1,-1,363,West
20,4,True,True,True,True,South,1,1,3,1,5,1,19,3,-1,-1,-1,3,523,West
15,9,True,True,True,True,East,5,6,6,14,14,8,7,1,13,14,2,-1,185,South
15,5,False,True,True,False,North,12,15,11,15,12,15,15,15,13,14,13,11,-4,East
19,6,False,True,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,7,541,East
14,4,True,True,True,True,South,1,1,3,1,5,1,21,4,-1,-1,-1,8,550,East
1,9,True,True,False,False,South,5,9,11,3,17,6,25,7,4,16,19,26,-12,South
16,15,False,False,True,True,West,10,15,13,15,5,1,7,1,6,3,-1,-1,365,West
13,7,True,True,True,False,South,1,1,3,1,5,1,19,4,-1,-1,-1,9,536,South
21,12,True,True,False,False,North,13,15,13,15,13,17,17,15,11,11,13,7,-17,North
1,18,False,True,True,False,Stop,5,9,11,3,17,6,25,7,13,25,28,35,-3,South
12,4,True,True,True,True,South,12,3,13,8,22,10,22,11,1,5,16,18,1081,West
13,8,True,True,True,False,South,1,1,3,1,5,1,19,4,-1,-1,-1,10,537,South
5,8,True,True,True,True,South,5,6,3,1,13,6,7,1,2,-1,10,-1,381,South
9,9,True,True,True,True,North,1,1,3,1,23,12,20,8,-1,-1,17,13,2467,East
11,6,True,True,True,True,East,1,1,3,1,13,6,7,1,-1,-1,2,-1,573,East
15,7,True,True,True,True,South,4,7,8,14,5,1,7,1,11,14,-1,-1,383,West
6,6,True,False,True,True,West,6,9,8,3,15,6,26,3,3,5,9,22,-34,North
18,8,False,True,True,True,North,10,15,13,15,14,15,17,15,15,12,11,8,-10,East
1,14,True,True,True,False,South,5,9,11,3,17,6,25,7,9,21,24,31,-5,South
11,15,True,False,True,True,South,6,9,9,5,19,5,25,6,11,12,18,24,-20,West
5,6,True,True,True,True,West,1,1,7,3,16,6,24,3,-1,5,11,23,161,South
1,12,True,True,True,False,South,5,9,11,3,17,6,25,7,7,19,22,29,-9,South
13,8,True,True,True,False,South,1,1,3,1,17,6,25,7,-1,-1,6,13,349,South
5,4,True,True,False,True,South,1,1,8,3,15,6,24,3,-1,4,12,20,159,South
16,6,False,False,True,True,East,1,1,3,1,5,1,18,4,-1,-1,-1,3,529,East
7,7,True,True,True,True,West,5,8,9,14,5,1,7,1,3,9,-1,-1,375,West
15,9,True,True,True,True,East,1,1,3,1,23,12,20,10,-1,-1,11,5,2561,East
8,11,True,True,True,True,North,1,1,13,14,5,1,7,1,-1,8,-1,-1,566,East
14,15,True,False,True,True,South,10,15,13,15,5,1,17,15,4,1,-1,3,169,East
14,6,True,True,True,True,South,1,1,3,1,17,6,25,7,-1,-1,3,12,349,East
22,6,False,False,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,4,541,East
13,11,True,True,True,False,South,1,1,3,1,13,9,22,4,-1,-1,2,15,340,South
3,6,True,True,True,True,East,3,5,11,5,14,9,26,5,1,9,14,25,-15,South
12,10,True,True,True,True,West,4,6,3,14,12,8,7,1,12,13,2,-1,189,South
17,5,False,False,True,True,East,12,15,12,15,13,15,16,15,15,15,14,10,-6,East
11,8,True,True,True,True,West,1,1,3,1,22,11,20,9,-1,-1,14,9,2270,West
11,5,True,True,False,True,East,1,1,11,3,17,6,25,7,-1,2,7,16,170,South
14,6,True,True,True,True,North,1,1,3,1,5,1,19,4,-1,-1,-1,7,531,East
9,6,True,True,True,True,East,1,1,3,1,13,6,7,1,-1,-1,4,-1,575,East
10,9,True,True,True,True,East,1,1,3,1,23,11,20,7,-1,-1,15,11,2566,East
1,18,False,True,True,False,Stop,5,9,11,3,17,6,25,7,13,25,28,35,-2,Stop
15,4,True,True,False,False,North,11,15,11,15,12,15,16,15,15,15,14,11,-3,North
17,15,False,False,False,True,East,10,15,13,15,5,1,7,1,7,4,-1,-1,366,West
15,6,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,2,11,348,East
1,9,True,True,False,False,South,5,9,11,3,17,6,25,7,4,16,19,26,-10,South
3,6,True,True,True,True,East,5,9,11,3,17,6,25,7,5,11,14,23,-17,East
22,6,False,False,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,4,538,East
14,3,False,False,True,True,Stop,10,15,13,15,14,15,17,15,16,13,12,15,-1,East
10,9,True,True,True,True,South,6,9,5,3,15,6,26,5,4,11,8,20,-27,South
6,6,True,False,True,True,East,1,1,10,4,13,6,24,4,-1,6,7,19,178,East
15,7,True,True,True,True,North,1,1,3,1,19,12,22,9,-1,-1,9,9,1968,North
11,6,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,6,15,365,North
19,7,True,True,True,True,West,1,1,3,1,23,11,17,7,-1,-1,8,2,3153,West
11,12,True,True,True,True,West,5,6,5,12,13,6,7,1,12,6,8,-1,193,West
6,10,True,True,True,False,South,5,6,3,1,13,6,7,1,5,-1,11,-1,384,South
18,6,True,True,False,False,North,11,15,11,15,14,16,17,15,16,16,14,11,-8,North
3,5,True,True,True,True,South,1,1,10,5,14,9,26,4,-1,7,15,24,184,West
15,6,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,10,10,1869,North
20,8,False,False,True,True,East,12,15,12,15,15,17,16,15,15,15,14,12,-12,East
13,16,True,True,True,False,North,12,17,3,1,5,1,7,1,2,-1,-1,-1,561,North
18,6,False,True,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,8,545,East
12,16,False,True,True,True,West,5,10,8,4,18,6,25,7,13,16,16,23,-18,West
5,10,True,True,True,True,South,9,3,12,5,20,11,22,10,11,12,16,18,194,South
6,3,False,False,True,True,East,1,1,9,3,14,6,24,4,-1,3,11,18,157,East
20,10,True,True,True,True,South,1,1,3,1,5,1,22,9,-1,-1,-1,3,3256,South
20,5,True,True,False,True,East,1,1,3,1,5,1,20,3,-1,-1,-1,3,524,South
20,11,False,False,True,True,West,10,15,13,15,14,15,17,15,14,11,10,7,-17,West
13,9,True,True,True,False,North,1,1,3,1,5,1,20,3,-1,-1,-1,14,556,South
4,12,False,True,True,True,Stop,9,3,10,7,19,12,22,9,14,11,15,20,-1,Stop
8,7,True,True,True,True,West,5,7,8,14,5,1,7,1,3,7,-1,-1,376,West
6,6,True,False,True,True,South,1,1,11,3,17,6,25,7,-1,8,11,20,176,East
18,5,True,True,True,True,East,1,1,3,1,19,11,7,1,-1,-1,7,-1,3648,North
10,5,True,True,True,True,East,12,5,12,7,22,11,21,10,2,4,18,17,784,East
13,7,True,True,True,False,South,1,1,3,1,17,6,25,7,-1,-1,5,12,352,East
