@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7,9-12,21-24,29,31,33-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.Randomize -S 1'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
7,6,True,True,True,True,West,5,6,5,12,5,1,7,1,2,8,-1,-1,385,West
11,4,True,True,False,True,North,1,1,3,1,26,3,27,2,-1,-1,16,17,370,North
5,6,True,True,True,True,West,1,1,8,3,21,6,28,2,-1,6,16,26,180,South
5,8,True,True,True,True,North,1,1,5,12,5,1,7,1,-1,4,-1,-1,581,North
10,4,True,True,True,True,East,1,1,11,3,17,6,25,7,-1,2,9,18,165,South
11,6,True,True,False,True,North,1,1,3,1,28,3,28,3,-1,-1,20,19,368,North
12,9,False,True,True,True,East,6,4,3,1,5,1,14,7,11,-1,-1,5,385,South
11,4,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,8,17,362,North
14,9,True,True,False,True,South,1,1,3,1,17,6,25,7,-1,-1,6,13,323,South
1,13,True,True,False,False,South,5,7,11,5,21,6,24,6,10,18,27,31,-5,South
17,5,False,False,True,True,East,11,15,14,15,16,15,17,15,16,13,11,10,-5,East
8,15,True,True,False,True,North,10,15,13,15,14,15,17,15,2,5,6,9,-36,North
4,5,False,True,True,True,West,1,1,3,1,8,11,14,6,-1,-1,10,11,383,West
13,17,False,True,True,True,West,12,18,12,19,5,1,17,15,2,3,-1,5,113,West
14,6,True,True,True,True,South,1,1,3,1,17,6,25,7,-1,-1,3,12,308,East
14,7,True,True,True,True,North,1,1,3,1,19,10,23,10,-1,-1,8,12,1183,East
13,8,True,True,True,True,North,7,4,3,1,5,1,7,1,10,-1,-1,-1,581,West
25,5,True,True,True,True,East,1,1,3,1,27,4,7,1,-1,-1,3,-1,541,East
6,11,True,True,True,True,North,1,1,5,12,5,1,7,1,-1,2,-1,-1,577,North
14,6,True,True,True,True,East,1,1,3,1,18,10,23,11,-1,-1,8,13,1184,North
11,7,True,True,True,True,East,9,3,3,1,19,12,22,9,6,-1,13,13,888,South
6,6,True,True,True,True,East,1,1,9,8,19,11,22,11,-1,5,18,22,592,East
6,10,True,True,False,True,East,5,4,7,9,8,11,13,4,7,2,3,12,-6,South
13,8,True,True,True,True,West,9,3,3,1,5,1,7,1,9,-1,-1,-1,564,South
18,5,True,False,False,True,East,12,15,14,16,16,15,17,15,16,15,12,12,-6,North
9,3,True,False,True,True,West,1,1,3,1,19,12,22,9,-1,-1,19,19,1481,Stop
13,9,True,True,True,True,South,5,6,5,12,13,6,7,1,11,11,3,-1,194,South
12,17,True,False,True,True,East,10,15,13,15,14,15,17,15,4,3,4,7,-43,East
13,7,True,True,True,True,South,5,6,5,12,13,6,7,1,9,13,1,-1,192,South
11,6,True,True,True,True,West,5,6,5,12,5,1,7,1,6,12,-1,-1,389,West
6,10,True,True,True,False,North,1,1,5,12,5,1,7,1,-1,3,-1,-1,578,North
8,13,True,True,True,False,West,10,15,13,15,14,15,17,15,4,7,8,11,-34,North
18,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,3,8,339,West
16,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,3,10,345,East
12,10,True,True,True,True,South,4,8,3,11,13,8,13,9,10,10,3,3,-4,South
4,6,True,True,True,True,East,5,8,11,4,21,6,27,4,3,9,17,26,-15,North
11,3,True,False,False,True,East,1,1,3,1,17,6,25,7,-1,-1,9,18,363,North
16,6,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,1,10,306,East
