@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute is_Stop_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
11,18,False,False,True,True,True,East,True,True,True,True,5,6,9,4,17,5,23,8,South,West,West,West,18,16,19,21,-1,-11,East
12,18,False,False,True,True,True,East,True,True,True,True,5,6,8,4,17,5,22,8,South,West,West,East,19,18,18,21,-1,-12,East
13,18,False,False,True,True,True,East,True,True,True,True,5,7,8,4,17,4,23,8,North,West,South,West,19,19,18,19,-1,-13,East
14,18,False,True,True,True,True,East,True,True,True,True,4,7,9,4,17,5,22,8,West,East,North,East,21,19,16,19,-1,-14,South
14,17,True,True,True,False,True,South,True,True,True,True,4,8,8,4,17,5,23,8,North,West,North,East,19,19,15,19,-1,-15,South
14,16,True,True,True,True,True,South,True,True,True,True,5,8,8,4,17,6,24,8,East,West,North,South,17,18,13,19,-1,-16,West
13,16,False,True,True,True,True,West,True,True,True,True,5,9,8,4,17,6,24,7,North,West,North,East,15,17,14,21,-1,-17,West
12,16,False,True,True,True,True,West,True,True,True,True,5,10,8,4,18,6,25,7,North,West,East,South,13,16,16,23,-1,-18,West
11,16,False,True,True,True,True,West,True,True,True,True,6,10,8,5,18,5,25,6,East,North,South,South,11,14,18,24,-1,-19,South
11,15,True,False,True,True,True,South,True,True,True,True,6,9,9,5,19,5,25,6,South,East,East,East,11,12,18,24,-1,-20,West
10,15,True,True,True,True,True,West,True,True,True,True,6,8,9,4,19,6,26,6,South,South,North,South,11,12,18,26,-1,-21,South
10,14,True,True,False,True,True,South,True,True,True,True,6,8,9,3,19,5,26,5,South,South,South,South,10,12,18,25,-1,-22,South
10,13,True,True,False,True,True,South,True,True,True,True,6,7,8,3,18,5,26,5,South,West,West,South,10,12,16,24,-1,-23,South
10,12,True,True,True,True,True,South,True,True,True,True,6,8,7,3,17,5,26,5,North,West,West,South,8,12,14,24,-1,-24,South
10,11,True,True,True,True,True,South,True,True,True,True,6,9,6,3,17,6,26,4,North,West,North,South,6,12,12,23,-1,-25,South
10,10,True,True,True,True,True,South,True,True,True,True,6,9,6,3,16,6,26,4,North,West,West,North,5,11,10,21,-1,-26,South
10,9,True,True,True,True,True,South,True,True,True,True,6,9,5,3,15,6,26,5,North,West,West,North,4,11,8,20,-1,-27,South
10,8,True,True,True,True,True,South,True,True,True,True,5,9,6,3,14,6,26,5,West,East,West,North,6,9,6,19,-1,-28,West
9,8,True,True,True,True,True,West,True,True,True,True,6,9,7,3,14,6,26,5,East,East,West,South,4,7,7,21,-1,-29,West
8,8,True,True,True,False,True,West,True,True,True,True,6,9,6,3,15,6,26,4,East,West,East,South,3,7,9,22,-1,-30,South
8,7,True,True,True,False,True,South,True,True,True,True,6,9,5,3,14,6,26,4,East,West,West,East,4,7,7,22,-1,-31,South
8,6,True,True,True,True,True,South,True,True,True,True,6,8,6,3,15,6,27,4,South,East,East,West,4,5,7,20,-1,-32,West
7,6,False,False,True,True,True,West,True,True,True,True,6,8,7,3,14,6,26,4,South,East,West,South,3,3,7,22,-1,-33,West
6,6,True,False,True,True,True,West,True,True,True,True,6,9,8,3,15,6,26,3,North,East,East,West,3,5,9,22,-1,-34,North
6,7,True,True,False,True,True,North,True,True,True,True,6,8,7,3,16,6,25,3,Stop,West,East,West,1,5,11,23,-1,-35,North
6,8,True,True,False,True,True,North,False,True,True,True,1,1,7,3,15,6,25,3,Stop,West,West,West,-1,6,11,23,-1,164,South
6,7,True,True,False,True,True,South,False,True,True,True,1,1,7,3,14,6,24,3,Stop,West,West,West,-1,5,9,21,-1,163,South
6,6,True,False,True,True,True,South,False,True,True,True,1,1,6,3,15,6,23,3,Stop,West,East,East,-1,3,9,21,-1,162,West
5,6,True,True,True,True,True,West,False,True,True,True,1,1,7,3,16,6,24,3,Stop,East,East,East,-1,5,11,23,-1,161,South
5,5,True,True,False,True,True,South,False,True,True,True,1,1,7,3,16,6,25,3,Stop,East,East,West,-1,4,12,21,-1,160,South
5,4,True,True,False,True,True,South,False,True,True,True,1,1,8,3,15,6,24,3,Stop,East,West,West,-1,4,12,20,-1,159,South
5,3,True,False,True,True,True,South,False,True,True,True,1,1,9,3,15,6,24,3,Stop,East,West,North,-1,4,13,20,-1,158,East
6,3,False,False,True,True,True,East,False,True,True,True,1,1,9,3,14,6,24,4,Stop,East,West,West,-1,3,11,18,-1,157,East
7,3,False,False,True,True,True,East,False,True,True,True,1,1,8,3,14,7,23,4,Stop,Stop,North,West,-1,1,11,17,-1,156,East
8,3,True,False,True,True,True,East,False,False,True,True,1,1,3,1,14,7,23,4,Stop,Stop,North,North,-1,-1,10,17,-1,355,East
9,3,True,False,True,True,True,East,False,False,True,True,1,1,3,1,14,8,23,5,Stop,Stop,North,North,-1,-1,10,16,-1,354,North
9,4,True,True,True,True,True,North,False,False,True,True,1,1,3,1,14,9,23,5,Stop,Stop,North,East,-1,-1,10,16,-1,353,North
9,5,True,True,True,True,True,North,False,False,True,True,1,1,3,1,13,9,24,5,Stop,Stop,West,South,-1,-1,8,16,-1,352,North
9,6,True,True,True,True,True,North,False,False,True,True,1,1,3,1,14,9,24,4,Stop,Stop,East,West,-1,-1,8,16,-1,351,North
9,7,True,True,True,True,True,North,False,False,True,True,1,1,3,1,13,9,23,4,Stop,Stop,West,West,-1,-1,6,16,-1,350,North
