@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R26,28'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
6,12,East,True,True,True,True,6,8,9,3,15,6,21,6,South,South,West,West,4,12,15,21,-1,-11,East
7,12,East,True,True,True,True,6,9,9,4,16,6,21,6,North,North,East,West,4,10,15,20,-1,-12,East
8,12,East,True,True,True,True,6,9,9,5,16,6,21,6,North,North,East,West,5,8,14,19,-1,-13,South
8,11,South,True,True,True,True,6,8,8,5,15,6,21,6,South,West,West,West,5,6,12,17,-1,-14,South
8,10,South,True,True,True,True,6,8,8,6,16,6,20,6,South,North,East,West,4,4,12,16,-1,-15,South
8,9,South,True,True,True,True,6,7,8,7,16,6,20,6,South,North,East,West,4,2,11,15,-1,-16,South
8,8,South,True,True,True,True,5,7,9,7,16,6,20,6,West,East,East,South,4,2,10,15,-1,-17,South
8,7,South,True,True,True,True,5,6,9,7,17,6,20,5,South,Stop,East,South,4,1,10,15,-1,-18,East
9,7,East,True,False,True,True,5,5,3,1,18,6,20,4,South,Stop,East,West,6,-1,10,13,-1,181,West
8,7,West,True,False,True,True,5,6,3,1,18,6,19,4,North,Stop,East,East,4,-1,11,15,-1,180,South
8,6,South,True,False,True,True,4,6,3,1,17,6,20,4,West,Stop,West,South,4,-1,9,15,-1,179,West
7,6,West,True,False,True,True,4,7,3,1,17,5,20,3,North,Stop,South,North,4,-1,11,15,-1,178,West
6,6,West,True,False,True,True,4,7,3,1,17,5,20,4,North,Stop,South,North,3,-1,12,15,-1,177,West
5,6,West,True,False,True,True,4,6,3,1,17,6,20,5,Stop,Stop,North,North,1,-1,12,15,-1,176,West
4,6,West,False,False,True,True,1,1,3,1,16,6,20,6,Stop,Stop,West,East,-1,-1,12,17,-1,375,East
5,6,East,False,False,True,True,1,1,3,1,17,6,21,6,Stop,Stop,East,West,-1,-1,12,15,-1,374,East
6,6,East,False,False,True,True,1,1,3,1,17,6,20,6,Stop,Stop,East,West,-1,-1,11,13,-1,373,East
7,6,East,False,False,True,True,1,1,3,1,17,5,19,6,Stop,Stop,South,East,-1,-1,11,13,-1,372,East
8,6,East,False,False,True,True,1,1,3,1,17,4,20,6,Stop,Stop,South,East,-1,-1,11,13,-1,371,East
9,6,East,False,False,True,True,1,1,3,1,18,4,21,6,Stop,Stop,East,East,-1,-1,11,13,-1,370,East
10,6,East,False,False,True,True,1,1,3,1,18,5,22,6,Stop,Stop,North,West,-1,-1,9,11,-1,369,East
11,6,East,False,False,True,True,1,1,3,1,18,5,21,6,Stop,Stop,North,West,-1,-1,8,10,-1,368,South
11,5,South,False,False,True,True,1,1,3,1,18,5,21,6,Stop,Stop,North,East,-1,-1,7,12,-1,367,South
11,4,South,False,False,True,True,1,1,3,1,18,5,22,6,Stop,Stop,North,East,-1,-1,8,13,-1,366,South
11,3,South,False,False,True,True,1,1,3,1,17,5,22,6,Stop,Stop,West,West,-1,-1,8,13,-1,365,North
11,4,North,False,False,True,True,1,1,3,1,17,6,21,6,Stop,Stop,North,West,-1,-1,8,11,-1,364,North
11,5,North,False,False,True,True,1,1,3,1,18,6,20,6,Stop,Stop,East,East,-1,-1,8,11,-1,363,North
11,6,North,False,False,True,True,1,1,3,1,18,5,21,6,Stop,Stop,South,West,-1,-1,8,9,-1,362,North
11,7,North,False,False,True,True,1,1,3,1,18,4,20,6,Stop,Stop,South,West,-1,-1,10,9,-1,361,North
11,8,North,False,False,True,True,1,1,3,1,19,4,19,6,Stop,Stop,East,South,-1,-1,12,11,-1,360,North
11,9,North,False,False,True,True,1,1,3,1,19,3,19,5,Stop,Stop,South,South,-1,-1,14,13,-1,359,North
11,10,North,False,False,True,True,1,1,3,1,20,3,19,4,Stop,Stop,East,East,-1,-1,16,15,-1,358,North
11,11,North,False,False,True,True,1,1,3,1,20,4,20,4,Stop,Stop,North,East,-1,-1,16,16,-1,357,North
11,12,North,False,False,True,True,1,1,3,1,20,4,20,4,Stop,Stop,North,North,-1,-1,17,16,-1,356,East
12,12,East,False,False,True,True,1,1,3,1,19,4,20,5,Stop,Stop,West,West,-1,-1,15,14,-1,355,East
13,12,East,False,False,True,True,1,1,3,1,18,4,19,5,Stop,Stop,West,South,-1,-1,13,14,-1,354,South
