@RELATION Pacman-data-training

@ATTRIBUTE pacman_position_x NUMERIC
@ATTRIBUTE pacman_position_y NUMERIC
@ATTRIBUTE is_North_Valid {True,False}
@ATTRIBUTE is_South_Valid {True,False}
@ATTRIBUTE is_East_Valid {True,False}
@ATTRIBUTE is_West_Valid {True,False}
@ATTRIBUTE is_Stop_Valid {True,False}
@ATTRIBUTE pacman_direction {North,South,East,West,Stop}
@ATTRIBUTE alive_ghost_1 {True,False}
@ATTRIBUTE alive_ghost_2 {True,False}
@ATTRIBUTE alive_ghost_3 {True,False}
@ATTRIBUTE alive_ghost_4 {True,False}
@ATTRIBUTE ghost_1_position_x NUMERIC
@ATTRIBUTE ghost_1_position_y NUMERIC
@ATTRIBUTE ghost_2_position_x NUMERIC
@ATTRIBUTE ghost_2_position_y NUMERIC
@ATTRIBUTE ghost_3_position_x NUMERIC
@ATTRIBUTE ghost_3_position_y NUMERIC
@ATTRIBUTE ghost_4_position_x NUMERIC
@ATTRIBUTE ghost_4_position_y NUMERIC
@ATTRIBUTE ghost_1_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_2_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_3_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_4_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_1_distance NUMERIC
@ATTRIBUTE ghost_2_distance NUMERIC
@ATTRIBUTE ghost_3_distance NUMERIC
@ATTRIBUTE ghost_4_distance NUMERIC
@ATTRIBUTE pac_dots_distance NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score_change NUMERIC

@ATTRIBUTE next_action {North,South,East,West,Stop}
@ATTRIBUTE next_score NUMERIC

@DATA
23,10,True,True,True,True,True,East,False,False,True,True,1,1,3,1,27,7,24,5,Stop,Stop,North,West,-1,-1,7,5,-1,348,-1,South,347
23,9,True,True,True,False,True,South,False,False,True,True,1,1,3,1,28,7,23,5,Stop,Stop,East,East,-1,-1,7,5,-1,347,-1,South,346
23,8,True,True,True,True,True,South,False,False,True,True,1,1,3,1,28,6,24,5,Stop,Stop,South,East,-1,-1,7,4,-1,346,-1,South,345
23,7,True,True,True,False,True,South,False,False,True,True,1,1,3,1,28,5,24,5,Stop,Stop,South,East,-1,-1,7,3,-1,345,-1,South,344
23,6,True,True,True,True,True,South,False,False,True,True,1,1,3,1,27,5,24,5,Stop,Stop,West,East,-1,-1,5,3,-1,344,-1,South,343
23,5,True,True,True,False,True,South,False,False,True,True,1,1,3,1,27,4,25,5,Stop,Stop,South,Stop,-1,-1,5,1,-1,343,199,East,542
24,5,True,True,True,True,True,East,False,False,True,False,1,1,3,1,28,4,7,1,Stop,Stop,East,Stop,-1,-1,5,-1,-1,542,-1,East,541
25,5,True,True,True,True,True,East,False,False,True,False,1,1,3,1,27,4,7,1,Stop,Stop,West,Stop,-1,-1,3,-1,-1,541,-1,East,540
26,5,True,True,True,True,True,East,False,False,True,False,1,1,3,1,27,5,7,1,Stop,Stop,Stop,Stop,-1,-1,1,-1,-1,540,199,East,739
1,18,False,True,True,False,True,Stop,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,13,25,28,35,-1,0,-1,South,-1
1,17,True,True,False,False,True,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,12,24,27,34,-1,-1,-1,South,-2
