@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Center'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
0.115635,0.527492,False,True,True,True,West,True,True,True,True,0.476825,0.617024,0.486984,0.617738,-0.00381,0.454678,-0.128381,0.570204,Stop,Stop,Stop,Stop,0.089524,-0.099414,-0.241576,-0.200847,-0.112941,-29,South
0.282302,-0.205841,False,True,True,True,East,False,False,False,True,-0.273175,-0.257976,-0.346349,-0.257262,-0.50381,-0.368852,-0.028381,-0.144082,Stop,Stop,Stop,East,-0.228658,-0.25326,-0.345025,-0.256402,-0.112941,527,South
0.365635,-0.072508,False,False,True,True,East,True,True,True,True,0.476825,0.617024,0.486984,0.617738,-0.00381,0.454678,-0.128381,0.570204,Stop,Stop,Stop,Stop,0.589524,0.323663,0.137734,-0.061958,-0.112941,-12,East
0.323968,-0.272508,True,True,True,True,East,False,False,False,True,-0.273175,-0.257976,-0.346349,-0.257262,-0.50381,-0.368852,0.021619,-0.21551,Stop,Stop,Stop,South,-0.228658,-0.25326,-0.345025,-0.256402,-0.112941,525,East
0.157302,-0.005841,True,True,True,True,East,True,True,True,False,0.060159,0.054524,-0.096349,0.555238,-0.00381,0.042913,-0.628381,-0.429796,East,East,East,Stop,0.407706,0.323663,-0.241576,-0.367513,0.122353,185,South
0.198968,0.394159,False,False,True,True,East,True,False,False,False,0.643492,0.617024,-0.346349,-0.257262,-0.50381,-0.368852,-0.128381,0.570204,East,Stop,Stop,Stop,-0.001385,-0.25326,-0.345025,-0.367513,-0.112941,567,East
-0.009365,-0.139175,True,True,False,True,North,False,False,True,True,-0.273175,-0.257976,-0.346349,-0.257262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,-0.228658,-0.25326,-0.069163,0.049153,-0.112941,364,North
-0.259365,-0.005841,True,True,True,True,North,False,True,True,True,-0.273175,-0.257976,0.320317,-0.132262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,-0.228658,0.24674,0.2067,0.271376,-0.112941,180,South
-0.092698,-0.072508,True,True,True,True,West,True,True,True,True,0.143492,0.242024,-0.013016,-0.132262,-0.00381,-0.074734,0.321619,-0.144082,East,East,West,South,-0.001385,0.054432,-0.069163,0.243598,-0.112941,-29,West
-0.176032,-0.205841,False,False,True,True,East,False,True,True,True,-0.273175,-0.257976,0.320317,-0.132262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,-0.228658,0.054432,0.034286,0.188042,-0.112941,171,East
