@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7,31,33-weka.filters.unsupervised.attribute.Remove-R8-11,20-23-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C7-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-Llast-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 7 -L last-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 22 -L last-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 42'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
18,6,True,True,False,False,North,10,15,13,15,14,15,17,15,17,14,13,10,-1,-7,North
14,7,True,True,True,True,East,10,3,3,1,5,1,7,1,8,-1,-1,-1,3,562,South
16,5,False,False,True,True,East,10,15,13,15,14,15,17,15,16,13,12,11,-1,-4,East
8,6,True,True,True,True,South,5,9,11,3,17,6,25,7,6,6,9,18,-1,-19,West
16,13,False,False,True,True,West,14,15,14,15,15,15,16,15,4,4,3,3,-1,-26,West
13,6,True,True,True,True,South,5,6,5,12,5,1,7,1,8,14,-1,-1,8,391,West
13,7,True,False,True,True,South,9,3,3,1,5,1,7,1,8,-1,-1,-1,4,563,East
12,13,False,False,True,True,West,11,15,16,15,12,18,16,15,3,6,5,7,-1,-48,West
13,6,True,True,True,True,East,1,1,3,1,19,10,23,10,-1,-1,10,15,2,1185,East
8,12,True,True,True,True,East,5,9,11,3,17,6,25,7,6,12,15,22,-1,-13,South
1,17,True,True,False,False,South,5,8,11,3,17,6,25,7,13,24,27,33,-1,-1,South
20,8,True,True,True,True,East,1,1,3,1,5,1,22,8,-1,-1,-1,3,1,1776,East
11,13,False,False,True,True,West,10,15,13,15,14,15,17,15,3,4,5,8,-1,-31,West
11,7,True,True,False,True,North,1,1,3,1,28,4,27,3,-1,-1,20,19,-1,367,North
1,6,True,True,False,False,North,1,1,3,1,8,11,14,6,-1,-1,12,13,9,379,North
5,10,True,True,True,True,South,8,5,11,5,17,12,22,10,8,11,14,18,1,197,South
11,5,False,True,True,True,West,11,3,3,1,5,1,7,1,2,-1,-1,-1,2,557,South
19,12,False,True,True,True,East,1,1,3,1,5,1,22,9,-1,-1,-1,6,1,2261,South
21,10,True,True,False,False,North,10,15,13,15,14,15,17,15,16,13,12,9,-1,-14,North
5,8,True,True,True,True,North,1,1,5,12,5,1,7,1,-1,4,-1,-1,14,581,North
11,5,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,7,16,-1,361,North
14,8,True,True,True,True,North,9,4,3,1,5,1,7,1,9,-1,-1,-1,2,569,West
6,3,False,False,True,True,East,1,1,10,4,24,6,28,3,-1,5,21,22,-1,176,East
13,13,False,False,True,True,East,13,15,14,15,12,19,16,15,2,3,7,5,-1,-55,East
15,13,False,False,True,True,East,14,16,16,15,13,17,14,15,4,3,6,4,-1,-35,East
6,9,True,True,True,True,East,6,5,3,1,8,11,14,6,4,-1,4,11,7,193,South
6,9,True,True,True,True,East,1,1,5,12,5,1,7,1,-1,4,-1,-1,12,579,North
8,8,True,True,True,True,West,6,10,4,12,5,1,7,1,4,8,-1,-1,11,388,North
5,9,True,True,True,True,West,1,1,11,3,17,6,25,7,-1,12,15,22,-1,175,South
21,13,True,True,False,False,North,14,16,10,15,17,15,16,15,10,13,6,8,-1,-17,North
8,9,True,True,True,True,North,6,10,3,12,5,1,7,1,3,8,-1,-1,10,387,West
15,3,True,False,True,True,East,11,15,14,15,14,15,17,15,16,13,13,13,-1,-1,North
5,5,False,True,True,True,West,1,1,3,1,8,11,14,6,-1,-1,9,10,6,384,West
12,8,True,True,True,False,South,1,1,3,1,5,1,14,6,-1,-1,-1,4,4,560,South
11,12,False,True,True,True,North,1,1,3,1,17,6,25,7,-1,-1,12,19,-1,354,East
19,13,True,True,False,True,South,13,17,14,16,16,15,15,15,10,8,5,6,-1,-23,West
14,8,True,True,True,True,North,9,4,3,1,5,1,7,1,9,-1,-1,-1,2,565,West
19,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,4,7,-1,340,West
3,11,False,False,True,True,East,6,5,6,9,8,11,14,5,9,5,5,16,12,-2,East
11,10,True,True,False,True,East,6,4,3,1,5,1,14,5,11,-1,-1,7,3,387,South
9,13,False,False,True,True,West,10,15,13,15,14,15,17,15,3,6,7,10,-1,-33,West
12,13,False,False,True,True,East,15,15,17,15,13,15,16,15,5,7,3,5,-1,-32,East
9,3,True,False,True,True,West,1,1,3,1,19,12,22,9,-1,-1,19,19,1,1480,North
21,15,True,True,True,True,North,10,15,13,15,14,15,17,15,11,8,7,4,-1,-19,West
20,11,True,True,False,True,East,1,1,3,1,26,5,25,5,-1,-1,12,12,-1,352,South
12,8,True,True,True,True,West,6,10,4,12,5,1,7,1,8,12,-1,-1,7,392,West
6,12,False,False,True,True,East,5,9,11,3,17,6,25,7,4,14,17,24,-1,-11,East
7,6,False,False,True,True,West,5,9,11,3,17,6,25,7,5,7,10,19,-1,-20,West
14,13,False,False,True,True,West,10,15,13,15,14,15,17,15,6,3,2,5,-1,-28,West
13,13,False,False,True,True,West,10,15,13,15,14,15,17,15,5,2,3,6,-1,-29,West
13,12,True,True,True,True,East,5,6,5,12,13,6,7,1,14,8,6,-1,8,197,South
